This process will create background job for submit Journal Entries indicated. Are you certain?,Este proceso creará un trabajo de fondo para enviar las entradas de diario indicadas. ¿Estas seguro?
This action will create background job for submit Journal Entries,Esta acción creará un trabajo en segundo plano para enviar entradas de diario
Name From,Consecutivo desde
Name To,Consecutivo hasta
